10059311212133605343S  121151211  231250321 6311 224111.11                              
10059811213135095341S  122391291  132258421 1113922521 .52                              
1006001121213916 644S  121212191  211261624 9412 22534 .55                              
1006201121213928 441S  3 21512122 232152321 21131114112.45                              
10062111212136054621R  121231211  212260625 7412 22534 .44                              
10063011212133012434S  131151111  232267521 8412 22621 .68                              
10063711212137323414S  121251121  232272321 6313222611 .88                              
10063811212134102434S  1133219129 13229022199921 11611 .72                              
10063911212134041334U  121299191  132177322 2112 22612 .40                              
10064111212138644532R  3 2251211  311244721 6311 223311.03                              
10065011212137035135U  3 22519121 23226882199411 12631 .73                              
10065111212134234733U  1223511122 132274121 1133211611 .56                              
10065511212135133923S  113151111  112255521 3113122521 .48                              
10066211212139103732S  1132522922 131227422 11132112221.39                              
10066311212137323414S  3 2259121  232184821 3111 22631 .61                              
10067011212136073612S  3 2151211  132275321 4212 22611 .40                              
10067811212137323414S  3 2342911  112257321 4213922511 .79                              
10067911212139193732S  131212211  112263821 7412 22531 .32                              
1006811121213928 441U  111231221  411240811 6312 223332.15                              
1006821121413334 131S  121351911  211129321 3132 22211 .51                              
10068411214133365432S  3 2121211  232169321 2111 22611 .56                              
10069011212139041234U  3 2312111  232184821 8412 22631 .51                              
10069711214137183615U  1223512122 432248322 1112 114122.45                              
10070911212137812514S  3 2351211  419248521 6311 224211.75                              
10072111212137812514S  121391191  232268421 5232 22621 .79                              
10072411212137701333S  121232111  212245522 5213222422 .74                              
10073311214138025011R  113151211  232165521 4211 22621 .59                              
10073411212134193922S  1113512122 232261321 3121 115111.48                              
10075111212136033313U  121351211  211129221 2139922211 .57                              
10075411212138654732S  111121111  112162421 4212 22521 .35                              
10075611212138434532S  1212511222 432267321 31139116111.53                              
1007571121513860 913S  1313111121 232267422 3112 12622 .82                              
10076011212139373924S  121312211  111234322 1112 22212 .77                              
10076311212136033313U  123232121  211138821 9411 22331 .77                              
1007671121213303 841S  121352211  322247521 2111 224211.26                              
10077411212138151723U  131391211  132274322 2113222612 .32                              
10077611212135631923S  121221121  312252421 6311 224211.17                              
10078111212132171721R  1233219222 211234321 31339112112.41                              
10078211212135124833U  3 2351211  12125382199919122431 .32                              
10079711212137121921S  1112511122 132272321 2113911611 .59                              
10080411215138174835S  3 9951921  232173521 8411 22621 .70                              
10080811212138174835U  123351211  231141221 63131223111.77                              
10080911212137013821R  3 9351911  132285321 3112 22611 .39                              
10081011212137155521R  121232121  23217362199912 22631 .43                              
10081111212132182721S  1233922922 132274421 1194911621 .53                              
10081411212136202021R  111141111  232267421 4211 22621 .55                              
10081911212138151723S  113351921  232275521 6313922621 .53                              
10082711212136301725S  121131121  132267321 1113922611 .53                              
1008311121213858 643U  121292121  13228262199911 22631 .32                              
10083511212138174835S  121351121  132180321 4213122611 .56                              
10084611212138064831R  3 2151211  212250321 6311 224111.12                              
