DATA FOR STATE-LEVEL INCOMES OVER TIME
PLAD 8310 - MERGE EXAMPLE DATA
stcode	year	income	p10income	p20income	p30income	p40income	p50income	p60income	p70income	p80income	p90income	meanincome	minincome	maxincome	sdincome	ineqincome	gini_income	n_income	nwgt_income	men_p10income	men_p20income	men_p30income	men_p40income	men_p50income	men_p60income	men_p70income	men_p80income	men_p90income	men_meanincome	men_minincome	men_maxincome	men_sdincome	men_ineqincome	men_gini_income	men_n_income	men_nwgt_income	wom_p10income	wom_p20income	wom_p30income	wom_p40income	wom_p50income	wom_p60income	wom_p70income	wom_p80income	wom_p90income	wom_meanincome	wom_minincome	wom_maxincome	wom_sdincome	wom_ineqincome	wom_gini_income	wom_n_income	wom_nwgt_income	medincome
"HI"	1976	88.08164	11744.5	15861.3	18865.6	21652.7	24304.2	27930.3	31251.4	38013	48844.3	27833.8			13585.7	4.158908	.29059			6572.55	15003.4	21252.6	27455.3	33287.7	39272.5	45967	53737.4	67237.7	36719.2			19327.1	10.23008	.380391			3105.96	5935.35	9043.88	13877.9	18033.2	21842.6	25717.8	31150.7	39228.4	20261.6			15079.4	12.63004	.410879			76.91202
"HI"	1980	55.94214	10940.4	14837.5	18015.5	21275.7	23591.3	26386.2	29925.1	34403.8	43184.1	25621.5	26.20087	223799.1	6095.91	3.947214	.278446	994	435875.7	7258.95	14954.1	20381.2	26155.8	32315.6	37876.8	43999.8	49853.4	61421.5	34662.6	26.20087	223799.1	11014.2	8.461485	.365426	520	232554.6	3104.42	6359.51	10075.9	13862.7	17214.8	20410	24117.6	28886.8	38147.3	19231.6	87.33624	121799.1	6364.83	12.28806	.404257	474	203321.1	51.50939
"HI"	1984	46.85329	10423.9	14289.3	17786.5	20930.7	24247.5	27603.1	31520.2	37512.2	48007.9	27081.2	155.7093	151470.6	9463.01	4.60556	.313385	883	495546.3	6230.56	12366.9	18870.5	24591.6	29774.3	35879.5	43365.3	52204.9	64678	34428.2	346.0208	151470.6	15209.9	10.38077	.40985	463	264691.9	3808.23	7177.08	12023.8	15745.9	19114.6	22394.8	26463.5	31192.4	40744.8	20823.7	155.7093	99826.99	9019.15	10.69914	.400331	420	230854.5	41.95069
"HI"	1988	45.77021	11756.9	16119.7	19391.2	22336.2	26672.4	30423.7	34443.9	41133.6	51908.1	30116.8	47.11246	197566.9	13223	4.415118	.321594	797	562108.6	6459.85	15240.7	19690.3	26767.3	32695.4	39479.3	45926.3	58296.3	73129.8	38384	100.304	197566.9	20676.1	11.32066	.41004	416	294394.4	3962.41	9016.5	13579.1	17249	20753.3	24385.2	28736.5	34480.4	44622.6	23110.7	47.11246	94527.36	11370.8	11.26148	.394208	381	267714.2	40.53556
"HI"	1992	41.59487	12433.7	16604.5	20622.3	24007.5	27882.3	32593.5	36928.8	45288.9	57564.7	32444	7.692308	162821.8	16152.1	4.629732	.323958	791	638511.4	9560.24	17095.1	21666.2	26249.9	32479.8	39157.8	47176.9	58629.2	79012.8	40014.3	7.692308	162821.8	22849.9	8.264729	.3849	427	346320.8	5008.06	10268.6	14105.8	18188.7	22043.6	26551.9	32711.7	38446.6	49713.6	26444.6	74.35898	137307.7	16197.1	9.926719	.39952	364	292190.6	35.74654
"HI"	1996	36.09174	10629.2	14641.8	18610	22137.3	25859.1	29941.6	35897.5	43288.4	56287.9	31472	60.77982	383244.3	19644	5.295591	.360493	753	641466	6777.67	13997	19257.7	24316.7	29560.8	37240.5	44240.4	54731.2	71967.5	38957.9	95.18349	383244.3	29374.4	10.61832	.414688	385	332269.2	4805.7	8940.78	12990.6	17317.2	20743.8	25792	30900.4	37947.2	51626.3	26224.6	60.77982	128767.2	21674.2	10.74272	.43144	368	309196.9	29.65493
"HI"	2000	33.28579	9697.1	14315	18188.8	22181.8	26360.4	30305.3	36644.1	44797.7	56209.3	31854.5	26.1233	284756.5	23137.6	5.796506	.373243	705	653141.3	5820.06	12829.6	19048.2	24192	30327.5	37529	45410.6	56781.3	75160.9	39250.6	26.1233	284756.5	39105.9	12.91411	.450227	363	336956.8	5503.84	9902.1	13189.6	18505.9	22769.1	26708.1	32581.2	39671.1	53478.3	26815.2	244.5141	246863.1	25690.5	9.716544	.42702	342	316184.6	27.54483
"HI"	2004	33.73739	12025.4	16620.8	19862.5	23779.8	27878	32125.7	36857.3	46797	63662.2	35188.1	1.917546	499335.6	33952.7	5.293978	.383439	1668	649138.3	8577.57	15003.9	21059.1	26704.4	31298.7	38028.9	47639.2	59035.5	80587.1	42510.1	95.87728	441852.4	47101.4	9.395097	.440389	851	342840.8	5545.96	10980.1	15398.2	19484.2	24369.1	29344.6	34615.3	42802.4	58214.3	32328.5	1.917546	499335.6	46302	10.4967	.466657	817	306297.5	26.72867
"ID"	1964	121.1262	10404.1	14025	17249.1	18989.3	19849	21563.3	22621.1	32772.8	33201.1	20833.7	40.69767	75581.39	2015.98	3.191156	.251758	80	205760.2	2205.59	12531.7	25910.7	31016	34749.2	37622.5	40948.1	44785.8	56263.2	32792.3	40.69767	75581.39	3794.1	25.50936	.323244	51	131291	525.588	1342.61	3222.17	4841.16	6253.42	12178.4	15360.8	19050.9	26672	10337	87.2093	33139.53	1783.38	50.74697	.493756	29	74469.17	115.4012
"ID"	1968	120.9202	10036.9	13548	15808.4	18547.8	20352.1	23151.3	26023.3	28492.3	34957.9	23337.6			2038.18	3.482938	.263471			3641.4	11832.2	22719.1	29015.7	32053.4	36080.8	40849.5	47865.1	57064.8	32538.6			4231.3	15.67112	.358458			425.543	1468.8	2857.88	5384.2	8474.14	11794.7	16148.5	21061.8	25702.9	11268.3			1854.06	60.40024	.505484			105.4513
"ID"	1972	112.3802	9626.64	12953.7	15378.3	17946.6	20442	23606.1	26805.8	31420.9	39380.9	26072.2			9052.64	4.090825	.272749			3625.2	10197	18385.5	26796.8	31773.6	36552.2	40124.8	48409.1	61693.9	32671.9			13683	17.01807	.396479			882.814	2143.66	4270.4	6967.28	9738.65	13057.2	17462.9	22175	29345.6	13178.7			8773.59	33.24097	.511814			88.11207
"ID"	1976	73.94968	9602.16	12855	15865	18130.6	21088.9	23831.2	27052.8	31716.5	39586.3	23368.1			12135.8	4.122645	.30876			3854.76	10782.8	17233.5	24117.4	30045.7	33921.1	39944.7	47851.9	59733.5	31659			16897.8	15.49604	.407622			994.288	2311.75	4337.27	7120.43	10664.3	14553.5	18603.7	23691.6	30616.6	13834.5			13049.1	30.79249	.48625			66.73702
"ID"	1980	49.50196	8281.81	12029.2	15185.5	17918.8	20568.1	23448.8	26465.7	31037.4	38375.7	22671.9	43.66812	180133.2	6435.92	4.633734	.323261	1366	482482.7	4667.35	10567.3	16525.9	22265.6	28351	34121.8	39998.3	46737.3	57926.9	31172.2	181.2227	180133.2	10781.4	12.41109	.410929	759	267339.6	1000.03	2855.69	4996.37	7770.8	10205.1	13843.4	17694.8	22487.4	29329.8	13538.8	43.66812	109170.3	5755.6	29.32892	.48677	607	215143	44.90851
"ID"	1984	38.57422	7213.96	11037.2	13813.8	16811.6	19277.7	22264.4	25888.6	30967.5	40395.5	22295.9	17.30104	225083	8896.16	5.599629	.34959	1073	513346.7	3688.74	9613.74	14277.3	19474.7	24994.3	30722.4	37202.2	45870	58438.7	29806.9	51.90311	225083	14872.4	15.84246	.4454	591	286953.8	1231.14	3347.17	6035.88	9143.47	12142.6	16243.3	20082.7	24407.7	32590.3	15419.6	17.30104	209382.3	8471.11	26.47165	.481319	482	226392.9	33.35242
"ID"	1988	35.4728	7849.15	11213.9	13995.5	16851.8	19589	22636.9	26823.2	32024.7	41236.8	23341.1	24.31611	191539.5	11267.9	5.253664	.357241	1015	503177.2	3303.97	8933.99	14606.7	19644.3	25297.8	30472.7	37037	45774	60104.2	30003.9	25.83587	172349.5	17278.6	18.19151	.44836	555	276546.3	1385.4	3454.24	6100.54	8870.64	12107.2	15787.5	19458.6	24706.6	32846.8	15734.2	24.31611	191539.5	10851.4	23.70925	.486718	460	226630.9	29.77052
"ID"	1992	30.69628	8282.39	11987.8	15178.3	17817.4	20834.1	23642.4	27281	33404.4	42574.5	23943.1	2.564103	139007.7	12131.6	5.140364	.33462	1013	547096.8	4721.17	10611.8	16052.2	20837.9	26096.8	31121.7	37839.8	46069.9	62411	31035.1	2.564103	139007.7	19871.1	13.21939	.425913	558	300773	1898.34	4011.15	7151.94	10060.9	13075.2	16579.1	20478.2	25385.5	34199.8	16464.1	11.53846	64358.98	12230	18.01563	.458997	455	246323.8	26.71038
"ID"	1996	31.60998	8816.28	13205.8	16280.5	19572.8	22820.5	26674	30869.5	37589.5	50195.7	27563.9	68.80734	348676.6	18866.2	5.693523	.359843	1007	650207.4	4929.47	11343.6	15549.5	20561.1	26515.8	31134	38475	48449.1	66856.2	33505.6	74.54129	348676.6	29846.2	13.56255	.457725	563	365225.5	2812.69	5577.48	8634.63	11875.1	15765.3	19502	24226.7	29870.9	41147.8	19885.7	68.80734	166284.4	15080.3	14.62934	.457228	444	284981.9	26.1703
"ID"	2000	30.94723	9428.1	13631.9	16941	20499.9	23799.9	27919.5	32173	39320.6	53336.5	29616.5	16.71891	443855.8	24049.8	5.657185	.376412	1064	699967.8	6535.91	13094	17981.9	22904.4	28604	33829.3	40685.6	51587.4	69850.4	37638.2	111.8077	443855.8	41047.8	10.68717	.459815	561	370311.5	3002.05	6123.26	9261.74	12667.7	16143.1	20732.4	25609.5	31933.5	43625.6	21336.3	16.71891	143951.9	19974.2	14.53194	.478385	503	329656.3	24.86928
"ID"	2004	28.64123	10120.9	14432.2	17548.8	20593.6	24109.4	27733.6	32022.2	39437.8	50404.3	29872.8	38.35091	653814	30564.7	4.980219	.370515	1269	693008.9	5636.83	12741.5	18484	22997.2	28592.1	33888.4	39777.3	49698.8	70301.1	38331.7	38.35091	653814	47553.2	12.47174	.465816	703	386106.9	3302.56	7147.24	10460.7	14234.1	17459.7	20903	24762.8	33558.3	46206.2	22263.9	47.93864	382616.5	25860.5	13.99102	.471198	566	306902	23.11544
"IL"	1964	135.9796	10675.8	14073.2	16635.9	18846.3	21268	23693	26280.4	30349.5	37098.9	23388.5	87.2093	485465.1	2593.97	3.475046	.281659	1637	3898280	6208.47	16980	23962.9	29099.6	33071.4	37413.5	42629.2	48201.2	59718.6	35143.1	116.2791	485465.1	4669.5	9.618892	.347818	1061	2541387	1572.17	4138.34	6779.36	10788.4	14113.4	17508.2	21605.6	24815.6	29981.3	15480	87.2093	137790.7	2119.09	19.07001	.418883	576	1356893	123.6512
"IL"	1968	133.8881	11937.9	15310.5	18134.7	20540.2	23152.6	25882	28902.4	33459.3	41119.8	25840.4	25.90674	259067.4	2968.35	3.444475	.285628	3810	5073087	6188.61	17191.4	25439.5	30949.1	35297.5	39575.3	45723.2	52704.6	64785.6	38064.7	103.6269	259067.4	5637.16	10.46852	.365521	2259	3017803	1739.92	4138.75	7062.91	10620.9	14835.8	18195.4	21967.7	26572.6	32567.3	16318	25.90674	155440.4	2551.33	18.7177	.430002	1551	2055284	119.9617
"IL"	1972	123.0272	12945.4	17188.4	20378.2	22866.4	25685.1	28575.7	32011.7	36876	45880.4	28542.3	38.7931	215517.2	3973.07	3.544147	.28527	3527	5220404	6499.12	17491.7	26592	33090.4	38363.4	43210.4	49292.6	57743.3	72910.7	41366.9	43.10345	215517.2	7280.58	11.21855	.37547	2044	3034204	1670.32	4397.1	7981.68	11801.7	16079.7	19972.9	23585.8	28731.9	34584.2	17958.3	38.7931	175025.9	3574.09	20.70514	.443718	1483	2186201	110.7116
"IL"	1976	90.05664	12182.9	16698.3	20077.1	23032.3	25995.2	28919.3	32569.9	37531.1	46487.4	28457.9	18.98734	316455.7	5197.93	3.815791	.286702	3335	5438259	5566.11	14774	23784.1	31287.4	37631.1	43477.1	49812.1	58093.9	73593.8	40400.8	18.98734	316455.7	9686.04	13.22177	.393534	1901	3131354	1765.57	4450.87	8149.93	12106.3	15650.5	20263.1	24194.6	29281.4	36798.1	18195	25.31645	153449.4	4853.33	20.84205	.437681	1434	2306905	82.26328
"IL"	1980	59.2476	11491.1	15539.8	18840.6	21882.7	24905.4	27990.2	31631.5	36640.9	44485.5	27135.4	65.50218	270997.8	6870.51	3.8713	.287706	3366	5856377	5990.98	14590.9	22220.8	28742.9	35268.1	40881.7	48177.8	54719.4	69506.7	37838.8	76.41921	270997.8	12333.1	11.60189	.382311	1890	3302709	2144.49	5165.3	8740.93	12212.5	15879.8	19620.7	23651.1	28621.1	36973.8	18276.5	65.50218	114028.4	6734.18	17.2413	.428915	1476	2553668	54.3786
"IL"	1984	47.79239	10486.4	14914.4	18424.3	21430	24749.4	28099.3	32012.7	37745.7	47694.4	27624	44.9827	285467.1	9777.93	4.548214	.312471	2956	5731287	5385.44	13028.2	20644.3	26555.7	33761.7	39788.6	46809.6	55544.5	70648	37697.8	44.9827	285467.1	17015.8	13.11833	.409697	1637	3229472	2510.62	5765.29	9171.82	13652.4	17365.5	21453.7	25888.4	31927.6	40850.8	20247.3	51.90311	178200.7	9608.82	16.2712	.433856	1319	2501815	42.81903
"IL"	1988	45.32949	10869.4	15617.1	19474.7	22941.7	26191.4	29821.4	34629.8	40958.8	52144.9	29826.8	15.19757	319636.8	12499.9	4.797403	.320912	3231	5964202	6253.97	14145.9	21123	27692.2	34363.3	41102.4	48243.5	57686.6	74002.4	39351.4	91.18541	319636.8	20655.8	11.83287	.410388	1770	3298861	3042.77	6486.98	10464	15089	19045.5	23500	28718.2	35310	45042.1	22455.1	15.19757	152711.2	12118.2	14.80299	.427838	1461	2665341	39.80456
"IL"	1992	38.99064	10905.5	15712.1	19538.1	23132.6	26634.5	30668.4	35259.7	41631.2	53147.9	30412.7	48.71795	287176.9	15321.8	4.873495	.326247	3371	6311788	6339.04	13750.3	20255	26746.8	32872.8	39481.2	47780.6	57730.3	75934.3	39059.5	132.0513	287176.9	24905.5	11.97883	.417343	1824	3409923	3621.23	7608.44	11512.4	15650.9	19786.3	24550.3	29369.8	35658.4	47090.3	23730.8	48.71795	172905.1	15712.1	13.00395	.428638	1547	2901865	34.1468
"IL"	1996	37.87661	11084.8	16032.4	20422	24027	27879.4	32295.7	37399.2	44988.4	58270	33028.4	58.48624	422623.9	21833.1	5.256748	.349504	2899	6510640	7277.59	14188.2	21167.3	27657.4	33856.8	40817.9	49018.8	60204	82788	42335.7	80.27523	422623.9	42648	11.37574	.446474	1475	3344295	4067.59	8166.96	12282.6	16536	21089.9	25717.9	31352.4	38286.2	50886	25637.7	58.48624	195431.2	19962	12.51011	.431617	1424	3166345	31.97179
"IL"	2000	37.82518	11728	16864.4	21425.3	25451.3	29628.1	33865.3	39570.7	48291.4	64507	36198.7	26.1233	379665.6	28454.2	5.500256	.3719	3105	6744345	7630.86	15513.2	22706.6	29588.8	35923.8	42720.6	51740.3	64025	85974.4	46714.1	45.97701	379665.6	48439.5	11.26667	.453596	1629	3501266	4303.63	9124.3	13634.7	18861.1	23056.9	27530.7	33143.1	40782.8	56065.1	28130.9	26.1233	230427.4	27511.6	13.0274	.438135	1476	3243079	30.95935
"IL"	2004	33.88878	11475.7	16068.7	19941.6	24136.7	28381.3	33489.8	38942.9	46823.7	63098.7	35346	53.69128	498784.3	31945.3	5.498462	.38003	3602	6134110	7707.2	14735.7	20873.6	27172.2	33560.4	40763.1	49481.3	61978.4	87132.4	45566.4	71.90796	476897.4	54769.3	11.30532	.472121	1927	3312545	4801.2	9889.1	14300.3	18628.5	23082.3	28171.1	34470.1	40711.9	55844.2	29712.3	53.69128	498784.3	29320.6	11.6313	.46551	1675	2821564	27.21122
"IN"	1964	118.6256	8800.52	12079.2	14502.3	16510.8	18695.2	20623.8	23286.5	27145.1	33327.1	20403.6	29.06977	149418.6	2068.36	3.786947	.286072	725	1765510	7081.14	15444.4	21401.7	27249.6	30502.8	34464.2	38930.2	44396.2	53948.7	32013.9	58.13953	149418.6	3747.85	7.618646	.340752	467	1138211	1262.85	2911.47	5337.54	8176.75	11489.1	14797.5	17630.5	22298.1	28724.9	13390	29.06977	95250	1998.18	22.74609	.457699	258	627299.3	108.693
"IN"	1968	122.6321	10534.6	14436.6	16882.5	19244.9	21318.7	23805.7	26570.5	30827.7	37952.8	23668	15.54404	244248.7	2857.82	3.602681	.286806	1742	2335621	5570.66	15338.3	23597.3	28450	33193.1	37158.4	42370.7	49137.8	60677.8	34927.2	20.72539	244248.7	5161.46	10.89239	.36286	1064	1422862	1124.71	2800.48	5309.7	8451.66	11743.3	15923.3	19219.8	23517.5	29917.8	14125.2	15.54404	106217.6	2362.66	26.60046	.456182	678	912758.9	110.4596
"IN"	1972	109.0444	11250.1	15374.7	18202.1	20650.2	23022.8	25668.4	28937.8	33223.9	40195.3	25298.3	47.41379	215517.2	3404.36	3.572884	.282564	1646	2541014	5398	14810.5	22403	29431.9	34220.2	39110.9	44358.8	51069.4	62887.7	36113.3	64.65517	215517.2	6177.86	11.65019	.372729	1002	1555616	1156.1	3173.19	5843.4	9526.5	13143.8	17125.9	20797.6	25170.5	32586.4	15616.3	47.41379	122465.5	3301.18	28.18649	.461217	644	985398.4	99.23621
"IN"	1976	77.55537	10903	14427.8	17227.9	19931	22650.1	25477.4	28374.6	33117.4	39852.5	24507.5	47.46835	155974.7	4087.47	3.655187	.277304	1682	2642331	5150.06	13392.2	20559.3	26722.4	32366.1	37819	43372.4	50038.2	61047.3	34314.5	56.96202	155974.7	7861.53	11.85371	.379956	1002	1591258	1378.33	3544.45	6709.49	10219.8	13409.4	17209.7	20924.1	25653.2	31583.4	15502.1	47.46835	62531.64	4078.73	22.91425	.445573	680	1051074	71.67753
"IN"	1980	51.01092	9422.09	13212.5	16350.9	18936.1	21587.2	24425.2	27563.8	31376.5	37952.5	23363	4.366812	128190	5740.47	4.028034	.285449	1782	2854549	5857.83	13633.4	20614.9	25041.4	30648.2	36441.7	42056.7	49011.2	59443.4	32992.8	4.366812	128190	10219.8	10.14768	.371721	998	1605806	1664.87	4176.49	6877.16	9863.44	13210.9	16400.7	19873.8	24056.1	31818	15323.2	34.9345	110807.9	5701.92	19.1114	.441405	784	1248743	47.13362
"IN"	1984	40.8699	8737.16	12626.7	15978.6	18565.9	20714.3	24114.9	27952.7	32180.4	40232.9	23622.8	86.50519	145674.7	8173.86	4.604803	.313439	1462	2740958	4356.02	11012.8	17803.4	23347.3	28903.7	34530.7	41448	49132	61124.5	32588.9	86.50519	145674.7	14795.2	14.03219	.413771	807	1522555	2035.17	4928	8149.67	11141.9	14257.3	17697.5	21680.7	26768.1	34193.6	16987	86.50519	112906.6	7989.61	16.80135	.433067	655	1218404	35.83789
"IN"	1988	38.66003	9727.49	13845.7	16783.2	19874.7	22878.1	25777.6	29432.3	34342.1	42457.4	25438.3	91.18541	189968.1	10099	4.364682	.307513	1169	2920721	5730.33	13183.1	19942.7	25383.5	30507.6	35859.5	42629.6	51181.7	63164.8	34183.6	100.304	189968.1	16707.3	11.02289	.395103	622	1572135	2427.39	5275.21	8436.49	11856.2	15794.1	19227.2	22762.1	27841.7	36360.8	18227.5	91.18541	158814.6	10034.2	14.97938	.435177	547	1348585	34.76915
"IN"	1992	32.93872	10309.9	13798	17272.8	19793.5	22737.1	25547.9	29461.9	35473.5	44829.5	25692.2	3.846154	168523.1	11968.2	4.348199	.308216	880	3015304	6227.8	13276.2	19642	24579.6	28953.6	34467.8	41481.6	50716.6	62891.5	33506.3	38.46154	168523.1	19396	10.09851	.389621	452	1538607	3123.81	6401.19	10017.8	13460.2	16771.8	20167.5	24358.8	29663.3	39229.6	19622.4	3.846154	152900	12440.2	12.55825	.416406	428	1476697	29.15013
"IN"	1996	33.48337	10955.5	15171.3	18225.4	20877.7	24243.9	27546.7	31768.1	37963	48417.9	29197.5	12.61468	357269.5	12800.8	4.419506	.348562	890	3254103	7181.09	14750.2	20280.2	25414	30232.2	35697.6	42287.7	50448.1	67609.7	37614.8	13.76147	357269.5	36092.9	9.414964	.420594	460	1708628	3130.24	6879.39	10271.5	14087.1	17565.7	21087	24685.5	31242.4	41579.1	21487	12.61468	345785.6	19700.8	13.28304	.440005	430	1545476	27.80264
"IN"	2000	32.70784	12294.3	16573.2	19722.4	23243.8	26827.3	30380.5	34987.6	41243.9	53001.9	31301.4	58.5162	260542.3	26638.4	4.311095	.328895	928	3298860	7513.95	15340.5	21920.4	27435.4	32475.9	38723.1	46136	57025.9	74522.8	39951.4	208.9864	260542.3	30405.9	9.917925	.418777	504	1794921	3609	8621.25	12605.5	16373.5	19854.3	23936.5	28396.8	36344.5	48329.3	24350.2	58.5162	117272.7	18175.2	13.39133	.432488	424	1503939	28.03271
"IN"	2004	32.0745	11616.8	16129.6	19918.9	23638.7	27459.5	31517.5	36769.1	45310.2	57140.2	33453.7	49.85618	410015.3	30642.2	4.918756	.366897	1905	3091364	7939.47	16025.6	22049.8	27053.4	31002.4	38213.3	46251.2	58185.8	83013.5	43767.6	49.85618	410015.3	51406.3	10.4558	.471554	1011	1658966	4947.22	10579.7	14265.6	18601.7	21750.8	25506.4	30809.8	36702.2	51453.4	26670.7	57.52637	380927.1	30612.2	10.40047	.430012	894	1432398	26.32742
"IA"	1964	100.3919	6120.94	9022.14	11629.1	13591.3	15959.7	17905.5	19883.6	23076.9	29229.4	17267.4	34.88372	485465.1	1991.28	4.775312	.310081	471	1113634	3807.91	10470	16914.9	22250	26042.3	30167	34286.1	39267.8	47616.6	27448.6	52.32558	485465.1	3779.5	12.50466	.373473	310	730697.8	679.984	1577.69	3152.63	5138.84	7182.87	10151	12947.8	17463.3	26041.1	10408	34.88372	50052.32	1732.67	38.29663	.507093	161	382936	92.78895
"IA"	1968	103.9295	7602.88	10774.1	13534	16040.4	18255.2	21053.6	23907.4	28377.7	33310.3	20058.4			2232.88	4.381274	.31628			4375.94	11030.3	18337.3	24279.3	29239.7	33322.1	38437.3	45248.1	54434	31514.6			4419.88	12.43938	.389751			840.583	1917.47	3679.83	5841.66	8400.23	11616.7	15348	19724.8	27101.5	11418.3			1741.81	32.24131	.493198			94.58652
"IA"	1972	97.02932	9208.96	12798.9	15726.7	18236	20978.6	23764.7	26790.2	31509.8	38496.7	22510.8			9082.29	4.180353	.307304			4506.52	11411.6	19070.4	25152	30670.9	35493.6	41551.1	48018.9	61356.6	33388.8			14187.6	13.61507	.403583			1379.25	2918.22	5419.12	8464.73	11636.4	14852.7	18605.4	23649.5	32200.5	14478.3			8698.32	23.34638	.484843			90.425
"IA"	1976	75.57468	9953.71	13829.6	16395.9	18857	21298.3	24377.8	27511.4	32399.5	39704.4	23881.6			11954.1	3.988904	.298846			3905.52	11675.7	18028	24543.9	30273.9	34897	41327.3	48217.1	62839.5	32569.2			17566	16.08992	.412654			1339.84	2756.46	5544.25	8712.42	11905.8	15177.9	18844.7	24046.8	33147.4	14713.4			12888.1	24.73982	.474916			67.39968
"IA"	1980	52.22686	9233.51	13899.9	16947	19422.5	22068.6	25049.1	28292.4	32588.8	39423.7	23919.9	13.10044	141921.4	5944.89	4.269633	.295179	1540	1578110	4739.22	10807.2	17558	23820.3	29921.5	34991	40339.8	47821.9	60549.7	32278.3	13.10044	141921.4	10913.9	12.7763	.412198	878	907107	1580.1	3428.61	6425.95	9600.99	12970.1	16348.4	20719.2	25151.3	32372.6	15367.7	28.38428	60698.69	5831.62	20.48769	.452123	662	671002.6	48.18472
"IA"	1984	41.19256	7934.49	12179	15542.5	18339.5	20951.3	24387.7	27914.4	33149.4	41213.1	23809.3	43.25259	249136.7	9145.5	5.194171	.346201	1251	1464257	3702.63	9088.64	15698.1	21751.2	27696.4	33321.9	38984.3	47706.6	62010.7	32015.9	43.25259	249136.7	16020.3	16.74774	.46169	692	812609.3	1867.25	4155.85	7334.94	10555.5	14114.5	17875.3	21930.9	27836.3	35409	17241.6	43.25259	138304.5	9108.88	18.96318	.460487	559	651647.8	36.24792
"IA"	1988	37.71292	9199.81	12999.9	16231.5	19235	22271.1	25445.5	29260.4	33930.8	41853.2	24815.1	33.43465	186928.6	10731.7	4.549355	.330386	1050	1587777	4365.3	10934.1	16832.5	23258.9	28640.4	33563.2	39442.3	47183.2	61387.8	32200.4	54.71125	186928.6	17849.2	14.06268	.423605	574	869966.2	1736.22	4538.8	7498.31	10725.7	14096.3	17681.4	21981.3	27497.3	35450.3	17269.5	33.43465	140729.5	9702.53	20.41809	.458668	476	717811.1	33.84666
"IA"	1992	32.35205	9828.44	13960.4	16760.9	19510.5	22776	25800.5	29071	33871.2	42580.7	25234.6	44.8718	156750	11891.5	4.332397	.307729	1142	1628162	5511.34	11991.1	17510.5	22144.7	27208.4	32387.5	37980.9	45227.4	58639.6	31215	44.8718	156750	19551	10.63981	.402931	607	875230	2327.33	5273.4	8526.76	11895.2	15747.5	18918	22560	28647.7	37473	18104.1	76.92308	128588.5	11954.8	16.10128	.441131	535	752932.2	29.2
"IA"	1996	32.63888	10642.4	15386.7	18963.4	21639.7	24656.2	28086.2	31697.3	37529	48473.8	28461.1	2.293578	365870.4	18587.2	4.554781	.32825	961	1688468	5368.67	13397.3	19349.8	23263	28405.6	33800.1	39982.1	47288.9	64270.4	34785.6	2.293578	365870.4	28532.7	11.97138	.430144	495	877883.3	2665.49	6232.11	9714.13	13540	17297.5	20987	25536.5	31685.9	40209.4	20534.6	9.174312	93119.27	14944.6	15.08518	.435947	466	810584.2	28.27546
"IA"	2000	33.25392	11399.6	15889.7	19857	23124.9	26331.9	29952	35002.9	42443.5	55476.2	31824	130.6165	308916.4	23828.5	4.866504	.348339	972	1724717	6371.27	14575.6	20071.4	25078.4	30231	36235.5	43128.8	52492.7	73930.1	38619.6	130.6165	306703.2	39053.1	11.60367	.446486	512	910507.7	3889.28	7949.96	11871	15756.4	20236.8	24374.5	29013.2	34822.1	44794.7	23794.5	156.7398	308916.4	18991.6	11.51748	.424237	460	814209	27.51505
"IA"	2004	30.5117	12571.4	16913.2	20278.9	23989	27539.5	31221.4	35265.1	41321.6	53123.8	31823.7	48.89741	396015.3	24087.1	4.225766	.32639	1808	1604438	7597.67	14816	20108.2	25114.6	30195.6	35101.4	41010.7	52346.1	72284.9	37769.5	103.5475	396015.3	40809.4	9.514088	.438305	960	860512.6	3835.11	7878.71	11939.1	16575.5	20474.4	24526	29305.4	35847.2	47854.7	25247.3	48.89741	303516.8	26749.2	12.47805	.4503	848	743925.4	26.40412
"KS"	1964	109.6366	5987.33	9245.01	11820	14611.4	16302.1	19114.9	21821.2	25715.6	31610.3	18857.5	87.2093	116860.5	2276.89	5.279532	.352248	221	519276	5322.44	11319.4	16418.6	23039.8	27553.4	31183.6	36729.1	42799	58726	31081	87.2093	116860.5	4487.16	11.03366	.405328	149	349985.6	1375.35	2997.19	4065.6	6998.24	9646.93	12482.4	14895.4	19485.7	22979.7	11639.7	174.4186	44877.91	1751.81	16.70826	.450427	72	169290.4	94.77965
"KS"	1968	109.9171	7999.39	11800.3	14405.7	16773.9	19089.7	21879.6	24846.4	28790.4	35619.6	21214			2101.11	4.45279	.306059			4871.68	12148	19088.9	25014.8	29990.5	34266	39088.4	46589.4	58431.3	32677.4			4255.95	11.99408	.389496			996.468	2751.88	4882.89	7235.64	10385.8	13609.4	16628.3	21295.3	27620.5	12803.2			1865.61	27.7184	.465943			98.91035
"KS"	1972	104.6375	9498.51	13961.2	16471.6	19156.3	22107.4	24925.6	28252.4	33035.2	41065.9	24275.9			9556.27	4.323404	.305798			5270.86	12142.6	19725.2	25861.1	31419.1	36912.3	42776.8	50339.7	65672.5	34997.8			14704.1	12.45954	.40996			1875.07	4151.31	6638.96	10021.3	13445	16546	20110.6	25044.8	31836.6	15733.2			9008.86	16.97889	.464063			95.29052
