fips;year;GDP;GDPpc;Private;Agriculture;Farms;Mining;Utilities;Construction;Manufacturing;Finance_Insurance;Legal;Education;Health;Government;Government_federal;Government_military;Government_statelocal;cpideflator;statecpi;Private_share;Agriculture_share;Farms_share;Mining_share;Utilities_share;Construction_share;Manufacturing_share;Finance_Insurance_share;Legal_share;Education_share;Health_share;Government_share;Government_federal_share;Government_military_share;Government_statelocal_share
48;1984;293459;18332.97;261730;4426;3408;41818;11713;15725;41269;43605;3004;916;9980;31729;6167;4963;20599;.578;.5373;89.18793;1.508217;1.161321;14.25003;3.991358;5.3585;14.06295;14.85898;1.023652;.312139;3.400816;10.81207;2.101486;1.691207;7.019379
48;1988;331595;19895.13;289891;5322;3845;29210;12164;13530;55915;43541;5491;1362;14442;41704;8231;5834;27639;.658;.6074;87.42321;1.60497;1.159547;8.808939;3.66833;4.080279;16.86244;13.13078;1.655936;.410742;4.355313;12.57679;2.482245;1.759375;8.335168
48;1992;422097;23767.07;368023;6868;4915;33696;17185;17385;58776;60083;7017;1777;22573;54074;10411;6570;37093;.78;.7175;87.1892;1.627114;1.164424;7.982999;4.071339;4.118721;13.92476;14.23441;1.662414;.4209933;5.347823;12.8108;2.466495;1.556514;8.78779
48;1996;550014;28438.69;483831;7041;4593;42701;21011;23885;80548;75708;7940;2260;28242;66183;11243;7164;47776;.872;.8026;87.96703;1.280149;.8350697;7.76362;3.820085;4.342617;14.64472;13.76474;1.4436;.4108986;5.134778;12.03297;2.04413;1.302512;8.686324
48;2000;727233;34876.23;646643;6470;4982;45184;21698;36882;92980;42434;10739;3616;38743;80590;12714;8088;59788;.957;.9011;88.91827;.8896736;.6850624;6.21314;2.983638;5.071552;12.78545;5.834994;1.476693;.4972272;5.327454;11.08173;1.748271;1.112161;8.221299
48;2004;901673;40092.14;800913;9878;8309;68249;30680;45648;119031;51501;12855;4978;54461;100760;15721;11639;73399;1.043;;88.82522;1.095519;.9215093;7.569152;3.402564;5.062589;13.20113;5.711716;1.425683;.5520849;6.039995;11.17478;1.743537;1.290823;8.140312
49;1964;3086;6027.344;2564;70;64;215;75;162;577;384;15;33;78;521;240;39;242;.172;.1927;83.0849;2.268308;2.073882;6.966948;2.430331;5.249514;18.69734;12.44329;.4860661;1.069345;2.527544;16.8827;7.777058;1.263772;7.841866
49;1968;3729;6767.695;2939;104;96;172;88;170;591;438;18;30;102;790;382;51;356;.193;.2123;78.8147;2.788951;2.574417;4.612497;2.359882;4.558863;15.84875;11.74578;.4827031;.8045052;2.735318;21.1853;10.24403;1.367659;9.546796
49;1972;5613;4947.114;4478;145;133;255;139;340;811;756;28;58;155;1135;481;84;570;.232;.2485;79.77908;2.583289;2.369499;4.543025;2.476394;6.057367;14.4486;13.46873;.498842;1.033316;2.761447;20.22091;8.569392;1.496526;10.155
49;1976;9294;7304.508;7608;189;169;674;282;632;1271;1246;53;76;283;1686;673;119;894;.316;.3215;81.85926;2.03357;1.818377;7.25199;3.034216;6.800086;13.67549;13.4065;.5702604;.8177319;3.044975;18.14074;7.241231;1.280396;9.619109
49;1980;15436;10565.1;12887;244;212;1186;597;916;2319;2180;88;124;541;2549;926;190;1433;.458;.4621;83.48666;1.58072;1.373413;7.683338;3.867582;5.93418;15.02332;14.12283;.5700959;.803317;3.504794;16.51335;5.998963;1.230889;9.283493
49;1984;22394;13803.53;18442;295;239;1287;1092;1245;3230;3099;169;194;832;3952;1285;332;2335;.578;.5538;82.35242;1.317317;1.06725;5.747075;4.876306;5.559525;14.42351;13.83853;.7546664;.8663035;3.715281;17.64758;5.738144;1.48254;10.4269
49;1988;27401;16219.62;22290;420;351;1444;1000;1086;3883;3492;260;269;1303;5110;1565;404;3141;.658;.6176;81.3474;1.532791;1.280975;5.269881;3.649502;3.963359;14.17102;12.74406;.9488705;.981716;4.755301;18.64895;5.711471;1.474399;11.46309
49;1992;35671;19420.2;29060;524;427;1284;942;1561;5072;4800;322;344;2010;6611;1998;487;4125;.78;.7336;81.46674;1.46898;1.197051;3.599563;2.640801;4.376104;14.21883;13.45631;.902694;.9643688;5.63483;18.53326;5.601189;1.365255;11.56402
49;1996;51442;24875.53;43428;521;365;1438;1365;3024;8148;7581;415;438;2531;8014;1993;494;5527;.872;.824;84.42129;1.012791;.709537;2.795381;2.653474;5.878465;15.8392;14.73699;.8067338;.8514444;4.920104;15.57871;3.874266;.9603048;10.74414
49;2000;67568;30256.55;57960;461;406;1007;1012;3825;8437;5085;638;655;3399;9608;2464;555;6589;.957;.9576;85.78025;.6822757;.6008762;1.49035;1.49775;5.660964;12.48668;7.525752;.944234;.9693938;5.030488;14.21975;3.646697;.8213947;9.751657
49;2004;80889;33858.38;69072;645;585;1536;1125;4177;8961;7413;776;859;4545;11817;3162;953;7701;1.043;;85.39109;.797389;.7232133;1.898898;1.390795;5.163867;11.07814;9.164411;.9593393;1.061949;5.618811;14.60891;3.90906;1.178158;9.520454
50;1964;1098;4732.759;986;65;62;9;25;66;284;142;7;13;41;112;28;7;76;.172;.2167;89.79964;5.919854;5.64663;.8196721;2.276867;6.010929;25.86521;12.9326;.6375228;1.183971;3.734062;10.20036;2.550091;.6375228;6.921676
50;1968;1639;6503.968;1468;78;73;9;33;113;428;244;9;21;64;170;33;7;130;.193;.241;89.56681;4.758999;4.453935;.5491153;2.013423;6.894448;26.11348;14.88713;.5491153;1.281269;3.90482;10.37218;2.013423;.4270897;7.931665
50;1972;2311;4989.055;2033;112;102;12;52;142;455;446;16;37;96;278;51;12;215;.232;.2846;87.97057;4.846387;4.413674;.5192558;2.250108;6.144526;19.68845;19.29901;.692341;1.601038;4.154046;12.02942;2.206837;.5192558;9.303332
50;1976;3242;6682.552;2834;145;128;15;92;152;775;499;22;45;156;408;79;22;307;.316;.3676;87.41518;4.472548;3.94818;.4626774;2.837754;4.688464;23.905;15.39173;.6785935;1.388032;4.811844;12.58482;2.436767;.6785935;9.469463
50;1980;4925;9629.372;4344;191;169;20;130;243;1313;724;36;60;235;580;112;28;440;.458;.5044;88.20305;3.878173;3.431472;.4060914;2.639594;4.93401;26.6599;14.70051;.7309645;1.218274;4.771574;11.77665;2.274112;.5685279;8.934011
50;1984;7006;13302.65;6198;215;175;20;207;367;1591;1132;61;97;353;808;155;50;603;.578;.6215;88.46703;3.068798;2.497859;.2854696;2.95461;5.238367;22.70911;16.15758;.8706823;1.384528;5.038538;11.53297;2.212389;.713674;8.606909
50;1988;10429;18970.17;9269;280;209;33;306;655;2183;1773;103;135;542;1160;221;63;876;.658;.7328;88.87717;2.684821;2.004027;.3164254;2.934126;6.280564;20.93202;17.00067;.9876307;1.294467;5.197047;11.12283;2.119091;.6040848;8.399654
50;1992;12590;21981.63;11025;332;256;37;510;520;2572;2109;126;196;819;1565;308;81;1176;.78;.8421;87.5695;2.637013;2.03336;.293884;4.050834;4.130262;20.42891;16.75139;1.000794;1.556791;6.505163;12.4305;2.446386;.6433678;9.340747
50;1996;14632;24645.4;12825;328;239;34;505;582;2700;2609;150;250;1014;1807;357;93;1357;.872;.9219;87.65035;2.241662;1.633406;.2323674;3.451339;3.977583;18.45271;17.83078;1.02515;1.708584;6.930017;12.34964;2.439858;.6355932;9.274194
50;2000;17782;29206.98;15546;321;235;57;476;786;2896;995;196;348;1420;2236;475;103;1658;.957;1.0376;87.42548;1.805196;1.321561;.3205489;2.676864;4.4202;16.28613;5.595546;1.102238;1.957035;7.985603;12.57451;2.671241;.5792374;9.324036
50;2004;21839;35145.17;18912;340;259;101;565;1123;2715;1318;214;456;2016;2927;596;181;2150;1.043;;86.59737;1.556848;1.185952;.4624754;2.587115;5.142177;12.43189;6.035075;.9798983;2.088008;9.231192;13.40263;2.729063;.8287925;9.844773
51;1964;12746;5020.086;9832;334;297;141;254;659;2884;1699;78;51;255;2914;1037;1020;858;.172;.1752;77.13792;2.62043;2.330143;1.106229;1.992782;5.170249;22.62671;13.32967;.6119567;.4001255;2.000628;22.86207;8.135886;8.002511;6.731524
51;1968;17740;6529.26;13532;337;285;162;342;865;3963;2443;104;79;389;4208;1355;1467;1386;.193;.1971;76.27959;1.899662;1.606539;.9131905;1.927847;4.875987;22.33935;13.77114;.5862458;.4453213;2.192785;23.72041;7.638106;8.269447;7.812852
51;1972;26163;5418.867;19725;473;402;306;498;1375;5182;3746;173;131;663;6437;2205;2097;2135;.232;.2384;75.39273;1.807897;1.536521;1.169591;1.903451;5.255514;19.8066;14.31793;.6612391;.5007071;2.534113;24.60345;8.427933;8.015136;8.160379
51;1976;39671;7729.081;30183;627;510;697;880;2064;7680;5376;269;162;1229;9489;3261;2710;3518;.316;.3204;76.08328;1.5805;1.285574;1.756951;2.218245;5.202793;19.35923;13.55146;.6780772;.4083588;3.097981;23.91924;8.22011;6.831186;8.867939
51;1980;59973;11216.62;45911;641;468;1104;1271;2917;11202;8518;432;250;2130;14061;4989;3841;5231;.458;.457;76.55278;1.068814;.7803512;1.840828;2.119287;4.863855;18.67841;14.20306;.7203242;.4168543;3.551598;23.44555;8.318744;6.404549;8.722259
51;1984;91840;16272.33;71118;1056;793;1078;2417;3979;16487;13929;693;362;3346;20721;6854;6548;7320;.578;.576;77.43684;1.149826;.8634582;1.17378;2.631751;4.332535;17.95187;15.16659;.7545732;.3941638;3.643293;22.56207;7.462979;7.129791;7.970383
51;1988;130443;21607.59;103824;1466;949;1010;3186;7813;20765;21052;1206;524;5211;26619;8374;7864;10381;.658;.6663;79.59338;1.123863;.7275208;.7742845;2.442446;5.989589;15.91883;16.13885;.9245418;.401708;3.994848;20.40661;6.419662;6.028687;7.958265
51;1992;160534;25027.49;125769;1746;1149;1032;4327;6434;25386;26014;1593;793;7652;34766;11393;9462;13911;.78;.7828;78.34415;1.08762;.7157362;.6428545;2.695379;4.007874;15.81347;16.20467;.9923131;.4939764;4.766592;21.65647;7.096939;5.894079;8.665454
51;1996;196638;29127.74;158173;1873;1067;1045;4787;8394;29647;32607;1876;1112;9032;38466;12420;9441;16605;.872;.8757;80.43867;.9525117;.5426215;.5314334;2.434423;4.268758;15.07694;16.58225;.9540374;.5655062;4.593212;19.56183;6.316175;4.801208;8.444451
51;2000;260743;36835.83;216081;1348;979;981;4532;11691;33795;14930;2464;1653;12380;44663;13656;10228;20778;.957;.9852;82.87125;.5169842;.3754655;.3762325;1.73811;4.483726;12.96104;5.725945;.9449918;.6339576;4.74797;17.12913;5.237341;3.922637;7.968766
51;2004;324870;43549.27;267088;1716;1369;1676;5927;16461;30572;21485;3296;2357;17040;57782;17826;13950;26006;1.043;;82.21381;.5282113;.4213993;.5158986;1.824422;5.06695;9.410534;6.613415;1.01456;.725521;5.245175;17.78619;5.487118;4.294025;8.005048
53;1964;10777;6144.242;8951;389;317;26;154;496;2502;1616;51;27;286;1826;406;343;1077;.172;.1931;83.05651;3.609539;2.941449;.2412545;1.428969;4.602394;23.21611;14.9949;.47323;.2505336;2.6538;16.94349;3.767282;3.182704;9.993505
53;1968;16079;8141.266;13386;502;408;21;205;841;3509;2775;74;43;449;2693;582;466;1645;.193;.2147;83.25145;3.122085;2.537471;.1306051;1.274955;5.230425;21.8235;17.25854;.4602276;.2674296;2.792462;16.74855;3.619628;2.89819;10.23074
53;1972;19804;5745.594;16064;777;629;34;312;971;3803;2938;106;78;671;3740;795;507;2438;.232;.2508;81.11493;3.92345;3.176126;.1716825;1.575439;4.90305;19.20319;14.83539;.5352454;.3938598;3.388204;18.88507;4.01434;2.560089;12.31064
53;1976;31679;8583.79;26016;1329;1027;51;524;1880;5924;4411;180;108;1191;5662;1245;873;3544;.316;.3274;82.1238;4.195208;3.241895;.1609899;1.654093;5.934531;18.70008;13.92405;.5681998;.3409199;3.759588;17.87304;3.930048;2.755769;11.18722
53;1980;52158;12621.86;43551;1869;1287;136;797;3507;9217;8158;402;171;2124;8606;1942;1165;5499;.458;.4743;83.49821;3.583343;2.467503;.2607462;1.528049;6.723801;17.67131;15.64094;.7707351;.32785;4.072242;16.49987;3.723302;2.233598;10.54297
53;1984;72596;16713.06;59274;2243;1646;143;1221;3321;11924;11939;725;274;3100;13322;2841;1960;8520;.578;.5738;81.64912;3.089702;2.267343;.1969806;1.681911;4.574632;16.42515;16.44581;.9986776;.3774313;4.270208;18.35087;3.913439;2.699873;11.73618
53;1988;96240;20741.78;80482;2983;1562;288;1694;4396;17023;15967;1145;362;4691;15759;3344;2469;9945;.658;.6492;83.62635;3.099543;1.623026;.2992519;1.760183;4.567747;17.68807;16.59081;1.189734;.376143;4.874273;16.37469;3.474647;2.565461;10.33354
53;1992;131148;25412.55;110038;4025;2358;308;2268;6537;19126;22612;1503;527;7468;21110;3938;2905;14267;.78;.7815;83.90368;3.069052;1.797969;.2348492;1.729344;4.984445;14.58352;17.24159;1.146034;.4018361;5.69433;16.09632;3.002714;2.215055;10.87855
53;1996;161760;29042.58;137552;4655;3014;433;3310;7534;21260;28440;1745;743;8965;24208;3870;3367;16971;.872;.8707;85.03462;2.87772;1.863254;.2676805;2.046241;4.657517;13.14293;17.5816;1.078759;.4593225;5.542161;14.96538;2.392433;2.081479;10.49147
53;2000;221961;37658.03;192695;4637;2559;291;2316;10177;25352;11069;2512;1113;12725;29266;5240;3597;20428;.957;1.0132;86.8148;2.089106;1.152905;.1311041;1.043427;4.58504;11.42183;4.986912;1.13173;.5014395;5.732989;13.1852;2.360775;1.620555;9.203419
53;2004;253247;40821.35;216845;5672;3453;246;2465;11407;23986;14792;2832;1440;17149;36402;6517;5345;24541;1.043;;85.62589;2.239711;1.363491;.0971384;.973358;4.504298;9.471386;5.840938;1.118276;.5686148;6.77165;14.37411;2.573377;2.110588;9.690539
54;1964;4957;4725.453;4495;58;52;594;250;174;1566;449;20;10;106;462;83;18;361;.172;.1734;90.67985;1.170063;1.049022;11.98305;5.043373;3.510188;31.59169;9.057898;.4034698;.2017349;2.13839;9.320153;1.6744;.3631229;7.28263
54;1968;6158;5803.958;5541;61;52;666;290;307;1849;526;28;16;164;617;110;19;487;.193;.1933;89.98051;.9905813;.84443;10.8152;4.709321;4.985385;30.02598;8.541735;.4546931;.2598246;2.663202;10.01949;1.786294;.3085417;7.908412
54;1972;8504;4732.569;7567;79;66;1027;439;558;2049;777;40;32;268;937;167;34;736;.232;.2328;88.98166;.9289746;.7761053;12.07667;5.162277;6.561618;24.09454;9.136877;.4703669;.3762935;3.151458;11.01834;1.963782;.3998119;8.654751
54;1976;13405;7140.042;12006;95;76;2436;639;677;2856;1359;67;39;432;1398;239;37;1122;.316;.3128;89.5636;.7086908;.5669526;18.17232;4.766878;5.050354;21.30548;10.13801;.4998135;.2909362;3.222678;10.42894;1.782917;.2760164;8.370011
54;1980;19031;9758.557;16925;131;101;3316;945;1002;3589;2070;118;57;733;2105;369;51;1685;.458;.4431;88.93385;.6883506;.530713;17.4242;4.965582;5.265094;18.8587;10.87699;.620041;.2995113;3.85161;11.0609;1.938942;.2679838;8.853975
54;1984;22848;11852.62;20104;174;127;3515;1539;768;3753;2530;176;78;1199;2744;464;108;2172;.578;.5394;87.9902;.7615546;.5558473;15.38428;6.735819;3.361345;16.42595;11.07318;.7703081;.3413866;5.247724;12.0098;2.030812;.4726891;9.506303
54;1988;26163;14294.95;22749;164;95;2930;1819;1045;5035;2773;255;82;1560;3414;603;136;2674;.658;.6081;86.95103;.6268395;.3631082;11.19902;6.952567;3.99419;19.24474;10.59894;.9746588;.3134197;5.962619;13.04896;2.304782;.5198181;10.22054
54;1992;30977;17147.99;26479;251;162;3054;2324;1302;4838;3321;406;125;2274;4498;853;183;3462;.78;.7165;85.47955;.8102786;.5229686;9.858928;7.50234;4.203118;15.61804;10.72086;1.31065;.4035252;7.34093;14.52045;2.753656;.5907609;11.17603
54;1996;37346;20488.17;31745;223;116;3073;2591;1680;6578;3933;439;175;2682;5601;1143;202;4257;.872;.8007;85.00241;.5971189;.3106089;8.228458;6.937825;4.498474;17.61367;10.53125;1.175494;.468591;7.181492;14.99759;3.060569;.5408879;11.39881
54;2000;41476;22935.9;34587;265;119;2843;1999;1704;5649;1563;539;213;3784;6890;1587;246;5057;.957;.892;83.3904;.6389237;.2869129;6.854567;4.819655;4.1084;13.61992;3.768444;1.299547;.51355;9.123348;16.61202;3.826309;.5931141;12.19259
54;2004;49706;27380.88;40952;279;150;3513;2367;1965;5582;1975;647;225;4746;8755;2020;436;6299;1.043;;82.38844;.5613005;.3017744;7.067557;4.762001;3.953245;11.23003;3.973363;1.301654;.4526617;9.548143;17.61357;4.063896;.8771577;12.67251
55;1964;13722;5637.633;12508;662;623;34;331;650;4795;1999;73;47;338;1214;171;64;979;.172;.1919;91.15289;4.824369;4.540154;.2477773;2.412185;4.736919;34.94389;14.56785;.5319924;.3425157;2.463198;8.847107;1.246174;.4664043;7.134529
55;1968;18234;7170.271;16446;895;841;29;416;935;6257;2394;95;78;515;1788;221;53;1513;.193;.2169;90.19415;4.908413;4.612263;.1590436;2.281452;5.127783;34.31502;13.12932;.5210047;.4277723;2.824394;9.805858;1.212021;.2906658;8.297686
55;1972;24078;5352.531;21311;1151;1074;46;603;1116;7466;3324;147;129;872;2767;318;82;2367;.232;.26;88.50818;4.780297;4.460504;.1910458;2.504361;4.634936;31.00756;13.80513;.6105158;.5357588;3.621563;11.49182;1.320708;.3405598;9.830551
55;1976;37013;8073.178;32999;1541;1414;56;907;1613;11742;5836;221;165;1482;4014;471;101;3442;.316;.3483;89.15516;4.163402;3.820279;.1512982;2.45049;4.357928;31.72399;15.76743;.5970875;.4457893;4.003999;10.84484;1.272526;.2728771;9.299436
55;1980;53401;11348.29;47702;2814;2622;89;1187;2085;16460;7956;360;242;2552;5699;717;135;4847;.458;.4968;89.32792;5.269564;4.91002;.1666635;2.222805;3.904421;30.82339;14.8986;.6741447;.453175;4.778937;10.67208;1.342672;.2528042;9.076609
55;1984;70652;14919.37;62975;2796;2489;76;1808;2292;21307;10798;549;364;3676;7677;957;255;6465;.578;.6074;89.13406;3.957425;3.522901;.1075695;2.559022;3.24407;30.15767;15.28336;.7770481;.5152013;5.202967;10.86593;1.354526;.360924;9.150484
55;1988;89936;18649.77;79955;2444;2011;135;2410;3557;26898;13087;832;467;4977;9981;1392;346;8243;.658;.6871;88.90211;2.717488;2.236035;.1501067;2.679683;3.955035;29.90793;14.55146;.9251023;.5192581;5.533935;11.09789;1.547767;.384718;9.165406
55;1992;112795;22444.99;99430;2970;2411;202;2484;4690;31465;17578;1055;680;7142;13365;1989;400;10976;.78;.8141;88.15107;2.633096;2.137506;.179086;2.202225;4.157986;27.89574;15.58402;.9353251;.6028636;6.331841;11.84893;1.763376;.3546256;9.730927
55;1996;141755;27104.28;125683;3426;2778;251;2978;5890;39414;22829;1142;880;8873;16071;2473;400;13199;.872;.9208;88.66212;2.416846;1.959719;.1770661;2.100808;4.155056;27.80431;16.10455;.8056153;.6207894;6.259391;11.33717;1.744559;.282177;9.311135
55;2000;175737;32764.29;156536;2359;1933;257;2822;7860;42989;12117;1605;1204;12380;19201;3081;447;15673;.957;1.0363;89.07401;1.342347;1.099939;.1462413;1.605809;4.472592;24.46212;6.894962;.9132966;.6851147;7.044618;10.92599;1.753188;.2543574;8.918441
55;2004;205916;37377.93;183269;3497;3096;342;3626;9418;43304;14896;1863;1628;17055;22648;3670;818;18160;1.043;;89.00182;1.698265;1.503526;.1660871;1.760912;4.573709;21.02993;7.234018;.9047378;.7906137;8.282503;10.99866;1.78228;.3972494;8.81913
56;1964;1400;7291.667;1217;82;77;381;36;92;62;111;5;1;20;183;46;32;105;.172;.1934;86.92857;5.857143;5.5;27.21428;2.571429;6.571429;4.428571;7.928571;.3571429;.0714286;1.428571;13.07143;3.285714;2.285714;7.5
56;1968;1672;8800;1430;103;97;447;52;93;76;127;6;1;25;242;52;28;162;.193;.2136;85.52631;6.160287;5.801435;26.73445;3.110048;5.562201;4.545455;7.595694;.3588517;.0598086;1.495215;14.47368;3.110048;1.674641;9.688995
56;1972;2347;6766.36;1990;182;171;504;59;175;115;191;12;3;37;357;75;47;236;.232;.252;84.78909;7.75458;7.285897;21.47422;2.513847;7.456327;4.899872;8.138048;.511291;.1278228;1.576481;15.21091;3.195569;2.002557;10.05539
56;1976;4700;11885.31;4134;169;151;1462;101;403;201;451;18;5;70;567;119;72;376;.316;.3296;87.95744;3.595745;3.212766;31.10638;2.148936;8.574468;4.276596;9.595745;.3829787;.106383;1.489362;12.06383;2.531915;1.531915;8
56;1980;10641;22661.79;9715;274;253;4720;316;760;427;772;35;8;134;926;187;94;644;.458;.4834;91.29781;2.574946;2.377596;44.35674;2.969646;7.142186;4.012781;7.254957;.3289165;.0751809;1.25928;8.702189;1.757354;.8833756;6.052063
56;1984;12674;25102.45;11270;207;175;5372;803;544;350;1006;59;11;191;1404;231;150;1023;.578;.5684;88.9222;1.633265;1.38078;42.38599;6.335805;4.292252;2.761559;7.93751;.46552;.0867919;1.507022;11.0778;1.822629;1.183525;8.071643
56;1988;11324;24348.5;9679;252;204;3718;932;402;496;882;78;14;250;1644;297;188;1159;.658;.6265;85.47333;2.225362;1.801484;32.83292;8.230308;3.549982;4.380078;7.788767;.6888025;.1236312;2.2077;14.51784;2.622748;1.660191;10.2349
56;1992;13337;28604.76;11337;447;381;4395;738;479;574;1023;94;24;344;2000;375;207;1418;.78;.7387;85.00413;3.351578;2.856714;32.95344;5.533478;3.591512;4.303816;7.670391;.7048061;.1799505;2.579291;14.99588;2.811727;1.552073;10.63208
56;1996;15732;32226.68;13493;336;271;4557;946;679;967;1460;111;24;451;2240;418;243;1578;.872;.8155;85.76786;2.135774;1.722604;28.96644;6.013221;4.316044;6.146708;9.280448;.7055683;.1525553;2.866768;14.23849;2.657005;1.544622;10.03051
56;2000;17331;35098.48;14739;373;315;3692;852;993;1042;539;112;30;740;2592;473;267;1852;.957;.9248;85.04414;2.152213;1.817552;21.30287;4.916047;5.729618;6.012348;3.110034;.6462408;.1731002;4.269805;14.95586;2.729213;1.540592;10.68605
56;2004;23420;46236.25;20025;455;379;6360;1143;1196;889;659;138;52;1035;3395;590;386;2419;1.043;;85.50385;1.942784;1.618275;27.15628;4.880444;5.106746;3.795901;2.813834;.58924;.2220325;4.4193;14.49616;2.519214;1.648164;10.32878
