Brigade Name,City,State,Meetup URL,"Meetup ""members"" ",most recent Meetup,RSVPs,comment,Mtg frequency
Code for Las Vegas,Las Vegas,NV,https://www.meetup.com/Code-for-Las-Vegas/,163,2/17/16,6,Project night,dormant?
BetaNYC,New York,NY,https://www.meetup.com/betanyc/,"5,745",11/18/20,17,community hours,monthly plus
Code for Buffalo,Buffalo,NY,https://www.meetup.com/CodeForBuffalo/,335,10/22/20,8,hack night ,monthly
Code for Syracuse,Syracuse,NY,https://www.meetup.com/Code-for-Syracuse/,194,10/27/20,10,hack night ,monthly
Code for Dayton,Dayton,OH,https://www.meetup.com/Code-for-Dayton/,963,11/11/20,5,puzzle night,irregular
Open Cleveland,Cleveland,OH,https://www.meetup.com/open-cleveland/,1.121,10/21/20,4,hack night,monthly
Open Columbus (Ohio),Columbus,OH,https://www.meetup.com/OpenColumbus/,"1,037",11/10/20,9,work night,monthly
Open Toledo,Toledo,OH,https://www.meetup.com/Open-Toledo/,238,4/2/20,4,meetup,dormant?
Code for Muskogee,Muskogee,OK,https://www.meetup.com/Code-for-Muskogee/,164,11/9/20,1,hack night,monthly
Code for Tulsa,Tulsa,OK,https://www.meetup.com/Code-for-Tulsa/,956,11/16/20,18,combined meetup,monthly
Code for PDX,Portland,OR,https://www.meetup.com/Code-for-PDX/,1.058,11/11/20,14,demo night,monthly
Open Eugene,Eugene,OR,https://www.meetup.com/Open-Eugene/,118,11/21/20,4,Hack to give thanks  (collaborative event) ,2x/week 
Code for Philly,Philadelphia,PA,https://www.meetup.com/Code-for-Philly/,"4,537",10/27/20,31,project showcase,monthly plus
Code for Pittsburgh,Pittsburgh,PA,https://www.meetup.com/codeforpgh/,"1,630",11/13/20,7,hack night,2-5x/month
Code for Puerto Rico,San Juan,PR,https://www.meetup.com/code-for-puerto-rico/,8,none,,,
Code Island,Providence,RI,https://www.meetup.com/Rhode-Island-Code-for-America-Brigade/,464,11/30/17,20,kickoff followup,dormant?
Code for Greenville,Greenville,SC,https://www.meetup.com/Code-for-Greenville/,292,11/3/20,5,work night,monthly
,,,,,,,,
Code for Nashville,Nashville,TN,https://www.meetup.com/code-for-nashville/,"2,742",11/16/20,20,hack night,bi-weekly
Code for BCS,Bryan-College Station,TX,https://www.meetup.com/CodeforBCS/,108,9/4/19,7,hack night ,dormant?
Code for Dallas,Dallas,TX,https://www.meetup.com/Code-for-Dallas/,224,11/12/20,7,meeetup,monthly
Open Austin,Austin,TX,https://www.meetup.com/Open-Austin/,"3,021",11/11/20,28,action night ,monthly
Sketch City (Houston),Houston,TX,https://www.meetup.com/sketchcity/,"3,610",9/23/20,8,project night,irregular
Code for Utah,Salt Lake City,UT,https://www.meetup.com/Open-Salt-Lake/,472,9/12/20,4,NDOCH,irregular
Code for Charlottesville,Charlottesville,VA,https://www.meetup.com/Code-for-Charlottesvile/,308,11/21/20,27,join core team (?),irregular
Code for Hampton Roads,Virginia Beach,VA,https://www.meetup.com/Code4HR,484,6/18/19,8,hack night,dormant?
Code for New River Valley,Radford,VA,https://www.meetup.com/CodeForNRV,254,9/12/20,1,NDOCH,irregular
Code for NoVA,Alexandria,VA,https://www.meetup.com/Code-for-NoVA/,"1,046",3/5/20,1,meetup,irregular
Code for BTV,Burlington,VT,https://www.meetup.com/CodeForBTV/,734,11/10/20,5,hack lunch,bi-weekly
Code for Upper Valley,Bradford,VT,????????????????,,,,,
Open Seattle,Seattle,WA,https://www.meetup.com/openseattle/,3.496,9/30/20,16,community build (also collaborated on Hack to Give Thanks 11/21/20) ,monthly
Code for Milwaukee,Milwaukee,WI,https://www.meetup.com/Code-for-Milwaukee/,681,11/19/20200,15,social,irregular
