caseid;turnout12;turnout12b;vote12;percent16;meet;givefut;info;march;sign;give12mo;compromise;ftobama;ftblack;ftwhite;fthisp;ftgay;ftjeb;fttrump;ftcarson;fthrc;ftrubio;ftcruz;ftsanders;ftfiorina;ftpolice;ftfem;fttrans;ftmuslim;ftsci;reg;demcand;repcand;vote16jb;vote16bc;vote16tc;vote16mr;vote16dt;presjob;lazyb;lazyw;lazyh;lazym;violentb;violentw;violenth;violentm;econnow;econ12mo;pid1d;pid2d;pid1r;pid2r;pidstr;pidlean;lcself;lcd;lcr;lchc;lcbo;lcdt;lcmr;lctc;srv_spend;campfin;immig_legal;immig_numb;equalpay;parleave;crimespend;death;terror_worry;terror_12mo;terror_local;relig_bc;relig_bcstr;relig_srv;relig_srvstr;incgap20;isis_troops;syrians_a;syrians_b;pc_a;pc_b;minwage;healthspend;childcare;getahead;ladder;finwell;warm;warmbad;warmcause;warmdo;freetrade;stopwhite;stopblack;forcewhite;forceblack;stop_12mo;arrested_12mo;charged_12mo;jailed_12mo;convict_12mo;famstop_12mo;stop_ever;arrested_ever;charged_ever;jailed_ever;convict_ever;famstop_ever;pk_deficit;pk_sen;pk_spend;birthright_a;birthright_b;femoff_jobs;femoff_ed;femoff_spend;femoff_issues;lpres_pleased;lpres_immig;lpres_la;vaccine;autism;bo_muslim;bo_confid;amer_ident;race_ident;whitework;whitejob;wguilt1;wguilt2;wguilt3;buycott;boycott;skintone_mob;skintone;skin_discrim;africanam10_1;white10_1;hispanic10_1;asianam10_1;nativeam10_1;other10_1;other10_open;birthyr;gender;race;race_other;educ;marstat;speakspanish;employ;employ_t;faminc;faminc2;state;votereg;pid3;pid7;ideo5;newsint;pew_bornagain;pew_churatd;religpew;religpew_t;ever_vs_12mo_rand
219;1;NA;1;100;4;4;5;2;2;2;1;5;89;87;84;91;70;91;75;4;60;59;51;69;99;93;78;40;97;1;2;NA;NA;NA;2;2;NA;7;3;3;3;3;4;4;4;3;5;3;NA;__NA__;2;__NA__;1;NA;5;2;6;1;1;6;7;5;2;1;1;6;1;1;2;2;1;1;4;2;2;1;2;1;1;NA;7;4;NA;2;4;2;3;3;6;2;3;3;6;2;3;4;3;3;1;2;2;2;2;1;NA;NA;NA;NA;NA;NA;1;6;1;2;NA;4;NA;4;NA;2;NA;5;1;6;2;1;1;3;4;4;5;5;5;2;2;99;2;5;0;NA;0;0;1;0;NA;1947;1;1;__NA__;6;4;4;5;__NA__;7;99;36;1;2;7;4;1;2;5;1;__NA__;1
220;1;NA;1;100;3;4;4;1;2;2;2;4;50;50;39;50;39;44;87;11;81;97;1;55;51;30;37;50;50;1;5;4;2;2;NA;NA;NA;7;1;3;3;5;2;3;3;4;3;3;NA;__NA__;2;__NA__;1;NA;7;1;5;2;1;4;6;7;1;6;3;5;7;7;5;3;NA;2;4;1;1;1;1;2;4;3;NA;NA;4;4;7;7;5;1;1;2;3;2;7;2;5;5;3;3;2;2;2;2;2;1;NA;NA;NA;NA;NA;NA;1;6;1;4;NA;NA;3;2;NA;3;NA;3;6;4;1;5;1;3;3;4;5;5;5;1;1;4;99;5;0;8;0;0;2;0;NA;1984;2;1;__NA__;5;1;4;7;__NA__;6;99;16;1;2;7;5;1;2;2;3;__NA__;1
221;1;NA;1;100;5;5;5;2;2;2;1;0;100;100;100;100;71;91;50;0;95;71;16;45;71;70;70;45;100;1;5;8;2;NA;NA;2;NA;7;5;5;5;5;4;5;5;4;5;3;NA;__NA__;2;__NA__;1;NA;6;1;7;1;1;6;6;6;1;4;4;5;1;1;4;1;NA;3;5;2;1;1;1;1;1;NA;6;NA;4;1;4;3;5;6;2;1;2;3;4;2;2;5;3;5;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;10;3;1;NA;NA;4;4;NA;2;NA;5;1;6;1;4;2;3;1;5;5;5;5;2;2;99;1;5;0;10;0;0;0;0;NA;1939;2;1;__NA__;2;1;4;5;__NA__;7;99;12;1;2;7;3;1;2;6;5;__NA__;1
222;1;NA;2;100;1;3;2;2;2;1;1;95;100;100;100;100;0;0;0;50;0;0;96;0;95;97;100;96;100;1;3;11;1;NA;NA;NA;1;2;5;5;5;5;4;4;4;4;2;2;3;__NA__;NA;__NA__;NA;2;3;2;7;4;3;6;7;7;6;1;2;4;1;1;4;7;4;5;5;2;1;1;2;1;6;NA;3;NA;3;1;2;3;2;7;6;1;2;1;2;4;3;4;3;4;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;1;5;NA;NA;NA;4;4;3;NA;5;2;6;2;1;4;3;4;4;4;4;4;1;1;99;1;4;0;10;0;0;0;0;NA;1978;2;1;__NA__;6;3;4;1;__NA__;7;99;2;1;3;3;2;2;2;5;1;__NA__;1
223;1;NA;1;100;4;4;5;2;2;2;1;17;70;70;70;31;50;60;80;30;51;71;70;70;91;30;41;40;60;1;3;2;NA;NA;2;2;NA;6;4;4;4;4;3;4;4;4;3;5;3;__NA__;NA;__NA__;NA;3;6;3;6;2;1;7;6;6;2;1;5;6;4;6;1;2;NA;2;4;2;2;1;2;2;3;NA;6;NA;4;2;6;7;2;7;6;1;2;1;5;6;3;3;3;3;NA;NA;NA;NA;NA;NA;1;2;2;2;2;1;1;8;4;NA;6;NA;NA;1;2;3;4;NA;2;5;1;3;1;2;2;2;5;5;5;2;2;99;3;5;0;10;0;0;0;0;NA;1932;2;1;__NA__;6;5;4;5;__NA__;5;99;48;1;3;4;4;1;2;5;2;__NA__;2
224;1;NA;2;100;1;3;2;1;1;2;1;100;63;62;67;50;32;1;12;47;41;25;16;46;58;53;48;60;43;1;1;11;1;NA;1;NA;NA;1;5;5;5;5;5;5;5;5;3;3;NA;__NA__;1;__NA__;1;NA;1;1;4;1;1;4;4;4;997;4;4;4;4;4;4;4;2;NA;2;1;1;2;1;3;4;NA;4;NA;2;1;4;4;4;2;4;1;3;3;4;4;1;4;3;4;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;2;4;1;NA;4;NA;3;5;NA;1;1;NA;4;3;2;1;1;1;2;3;3;4;5;1;2;99;3;3;0;10;0;0;0;0;NA;1973;2;1;__NA__;1;5;4;2;__NA__;7;99;6;1;1;1;5;1;1;7;1;__NA__;1
225;1;NA;2;100;5;5;5;2;2;2;1;60;99;100;98;99;11;4;5;100;2;3;30;3;50;50;52;49;100;1;1;11;NA;1;NA;NA;1;3;5;5;5;5;5;5;5;5;3;3;1;__NA__;NA;__NA__;1;NA;1;2;7;2;4;7;7;7;7;1;2;4;1;1;2;7;NA;3;5;2;1;2;1;1;7;NA;3;NA;4;1;1;2;2;6;6;1;2;1;1;6;3;4;2;4;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;4;NA;6;NA;NA;4;4;4;NA;5;7;1;2;1;3;3;5;5;5;5;5;2;1;99;3;5;0;10;0;0;0;0;NA;1955;2;1;__NA__;3;1;4;1;__NA__;11;99;4;1;1;1;1;4;2;6;2;__NA__;1
226;1;NA;1;99;5;4;5;2;2;2;2;3;41;53;46;53;22;69;73;1;79;92;14;86;53;51;51;50;53;1;5;4;NA;2;NA;2;NA;7;4;4;4;4;4;4;4;4;3;3;NA;__NA__;2;__NA__;2;NA;6;1;5;1;1;4;6;6;2;6;4;7;3;3;4;3;2;NA;4;2;1;1;3;2;5;NA;6;NA;4;2;5;5;2;7;7;1;2;3;4;7;3;3;3;3;NA;NA;NA;NA;NA;NA;1;2;2;2;2;1;1;6;1;1;NA;NA;4;4;NA;4;3;NA;1;6;2;2;2;4;4;5;5;5;5;2;2;1;99;5;0;10;0;0;0;0;NA;1970;2;1;__NA__;5;1;4;4;__NA__;31;99;20;1;2;6;4;1;1;5;1;__NA__;2
227;1;NA;1;100;5;3;5;1;2;2;1;26;50;51;50;41;40;61;91;0;90;56;31;85;90;15;50;30;75;1;3;8;NA;2;NA;NA;2;7;4;5;5;3;4;5;5;2;3;4;3;__NA__;NA;__NA__;NA;1;5;1;4;1;1;4;6;7;1;7;1;2;2;7;4;2;NA;2;4;1;1;1;1;3;3;NA;7;NA;4;2;7;7;4;1;6;2;3;2;7;3;3;2;3;3;NA;NA;NA;NA;NA;NA;2;1;2;2;2;2;1;6;1;NA;7;3;NA;3;NA;4;NA;5;4;6;1;3;1;3;3;5;5;5;5;2;2;99;2;5;0;10;0;0;0;0;NA;1942;1;1;__NA__;5;1;4;5;__NA__;NA;99;12;1;3;5;4;1;2;5;11;__NA__;2
228;1;NA;1;100;4;5;5;2;2;2;1;24;66;99;63;0;74;72;80;1;82;43;47;48;83;31;2;27;99;1;5;NA;NA;2;NA;2;NA;6;3;4;4;4;3;4;4;3;4;4;NA;__NA__;2;__NA__;2;NA;6;1;7;1;1;6;6;7;1;1;4;4;1;3;4;2;2;1;4;2;2;1;1;1;2;NA;7;NA;4;2;6;6;3;2;4;1;2;3;4;4;3;3;3;3;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;1;4;1;NA;5;NA;NA;4;4;4;NA;5;1;3;2;3;2;2;5;4;5;5;5;2;2;2;99;5;0;10;0;0;0;0;NA;1960;2;1;__NA__;6;1;4;1;__NA__;12;99;12;1;2;6;4;1;2;6;11;__NA__;2
