State,year,demvote,repvote,wallacevote,dempercent,reppercent,population
"Texas",1988,2352748,3036829,0,43.65367,56.34633,16667146
"Texas",1992,2281815,2496071,0,47.75784,52.24216,17759738
"Texas",1996,2459683,2736167,0,47.33938,52.66062,19340342
"Texas",2000,2433746,3799639,0,39.04373,60.95627,20851820
"Texas",2004,2832704,4526917,0,38.48981,61.51019,22490022
"Utah",1964,219628,180682,0,54.86448,45.13552,512000
"Utah",1968,156665,238728,26906,37.09812,62.90188,551000
"Utah",1972,126284,323643,0,28.06767,71.93233,1134601
"Utah",1976,182110,337908,0,35.01994,64.98006,1272365
"Utah",1980,124266,439687,0,22.03481,77.96519,1461037
"Utah",1984,155369,469105,0,24.87998,75.12002,1622339
"Utah",1988,207343,428442,0,32.61213,67.38788,1689374
"Utah",1992,183429,322632,0,36.24642,63.75358,1836799
"Utah",1996,221633,361911,0,37.98051,62.01949,2067976
"Utah",2000,203053,515096,0,28.27449,71.7255,2233169
"Utah",2004,241199,663742,0,26.65356,73.34644,2389039
"Vermont",1964,108127,54942,0,66.30751,33.69249,232000
"Vermont",1968,70255,85142,5104,43.77231,56.22769,252000
"Vermont",1972,68174,117149,0,36.78658,63.21342,463214
"Vermont",1976,81044,102085,0,44.25514,55.74486,485144
"Vermont",1980,81891,94598,0,46.40006,53.59994,511456
"Vermont",1984,95730,135865,0,41.33509,58.66491,526662
"Vermont",1988,115775,124331,0,48.21829,51.78171,549758
"Vermont",1992,133592,88122,0,60.2542,39.7458,572751
"Vermont",1996,137894,80352,0,63.18283,36.81717,593701
"Vermont",2000,149022,119775,0,55.44035,44.55965,608827
"Vermont",2004,184067,121180,0,60.301,39.699,621394
"Virginia",1964,558038,481334,0,53.68992,46.31008,2539000
"Virginia",1968,442387,590319,321833,32.6596,67.3404,2717000
"Virginia",1972,438887,988493,0,30.74773,69.25227,4828131
"Virginia",1976,813896,836554,0,49.31358,50.68642,5132693
"Virginia",1980,752174,989609,0,43.18414,56.81586,5346797
"Virginia",1984,796250,1337078,0,37.32431,62.67569,5643937
"Virginia",1988,859799,1309162,0,39.64105,60.35895,6036907
"Virginia",1992,1038650,1150517,0,47.44499,52.55501,6414307
"Virginia",1996,1091060,1138350,0,48.93941,51.06059,6750884
"Virginia",2000,1217290,1437490,0,45.85276,54.14724,7078515
"Virginia",2004,1454742,1716959,0,45.8663,54.1337,7459827
"Washington",1964,779881,470366,0,62.37815,37.62185,1754000
"Washington",1968,616037,588510,96990,47.3315,52.6685,1975000
"Washington",1972,568334,837135,0,40.43732,59.56268,3446815
"Washington",1976,717323,777732,0,47.97971,52.02029,3690561
"Washington",1980,650193,865244,0,42.90466,57.09534,4132353
"Washington",1984,807352,1051670,0,43.42886,56.57114,4343670
"Washington",1988,933516,903835,0,50.80771,49.19229,4639911
"Washington",1992,993037,731234,0,57.5917,42.4083,5160757
"Washington",1996,1123323,840712,0,57.19465,42.80535,5569753
"Washington",2000,1247652,1108864,0,52.94477,47.05523,5894121
"Washington",2004,1510201,1304894,0,53.64654,46.35346,6203788
"West Virginia",1964,538087,253953,0,67.93684,32.06315,1049000
"West Virginia",1968,374091,307555,72560,49.60064,50.39936,1061000
"West Virginia",1972,277435,484964,0,36.38974,63.61026,1796910
"West Virginia",1976,435914,314760,0,58.06968,41.93032,1877440
"West Virginia",1980,367462,334206,0,52.36978,47.63022,1950186
"West Virginia",1984,328125,405483,0,44.72757,55.27243,1927675
"West Virginia",1988,341016,310065,0,52.37689,47.62311,1830227
"West Virginia",1992,331001,241974,0,57.76884,42.23116,1806451
"West Virginia",1996,327812,233946,0,58.35466,41.64534,1822808
"West Virginia",2000,295497,336475,0,46.75793,53.24207,1808344
"West Virginia",2004,326541,423778,0,43.52029,56.47971,1815354
"Wisconsin",1964,1050424,638495,0,62.19505,37.80495,2434000
"Wisconsin",1968,748804,809997,127835,44.3963,55.6037,2543000
"Wisconsin",1972,810174,989430,0,45.01957,54.98043,4498433
"Wisconsin",1976,1040232,1004987,0,50.86164,49.13836,4584688
"Wisconsin",1980,981584,1088845,0,47.40969,52.59031,4705642
"Wisconsin",1984,995847,1198800,0,45.37618,54.62382,4735588
"Wisconsin",1988,1126794,1047499,0,51.82347,48.17653,4822365
"Wisconsin",1992,1041066,930855,0,52.79451,47.20549,5025398
"Wisconsin",1996,1071971,845029,0,55.9192,44.0808,5229986
"Wisconsin",2000,1242987,1237279,0,50.11507,49.88493,5363675
"Wisconsin",2004,1489504,1478120,0,50.1918,49.8082,5509026
"Wyoming",1964,80718,61998,0,56.55848,43.44152,192000
"Wyoming",1968,45173,70927,11105,35.51197,64.48803,190000
"Wyoming",1972,44358,100464,0,30.62932,69.37067,346863
"Wyoming",1976,62239,92717,0,40.1656,59.8344,395446
"Wyoming",1980,49427,110700,0,30.86737,69.13263,469557
"Wyoming",1984,53370,133241,0,28.5996,71.4004,504891
"Wyoming",1988,67113,106867,0,38.57512,61.42488,465080
"Wyoming",1992,68160,79347,0,46.20798,53.79202,466251
"Wyoming",1996,77934,105388,0,42.51208,57.48792,488167
"Wyoming",2000,60481,147947,0,29.01769,70.98231,493782
"Wyoming",2004,70776,167629,0,29.6873,70.31271,506529
